title;lat;lng
камышин;50.0808422;45.4048003
канд;32.1692931;76.4245933
кандалакша;67.151442;32.4130551
карабаш;55.485809;60.209541
каспий;46.0534431;48.3603278
каунас;54.8982139;23.9044817
кемерово;55.355125;86.087234
кемь;64.9550895;34.5697446
кенигсберг;60.0557019;30.36127
керчь;45.3534002;36.4538645
киев;50.4501071;30.5240501
кизляр;43.8437724;46.7124847
кирхгоф;59.6941308;30.1699875
кисловодск;43.9143583;42.7237033
кишинев;47.0122737;28.8605936
козельск;54.037102;35.780102
козьмодемьянск;56.3324346;46.5462855
коктебель;44.96553935;35.2431582432722
колгуев;69.097075;49.140156481723
коломна;55.0938743;38.7670121
колымск;68.531128;160.926483
консепсьон;-36.8270743;-73.0502465
константинополь;41.0096334;28.9651646
констанца;44.1724166;28.6208196629799
копенгаген;55.6867243;12.5700724
кострома;57.7679158;40.9269141
котлас;61.252151;46.647629
котлин;52.7911111;20.7611111
краков;50.0619474;19.9368564
красноярск;56.0090968;92.8725147
кременчуг;49.0797222;33.4325
кролевец;51.5548654;33.3875984
кронштадт;59.990845;29.774652
крым;44.9333333;34.1
кузьмищево;58.6525533;36.8709334
куйбышев;53.198627;50.113987
кунгур;57.428844;56.944328
кунцево;49.3821397;34.3768503
курск;51.72703565;36.1922479569211
лахти;60.9838761;25.6561814
ленинград;42.8338834;59.0401358
либерия;5.7499721;-9.3658524
ливадия;44.46648;34.14104
липецк;52.6041877;39.5936899
лиски;50.982079;39.496941
лиссабон;38.7077926;-9.1365061
литва;55.3500003;23.7499997
лобаново;45.7757543;34.2448024
лозанна;46.5218269;6.6327025
лондон;51.5073219;-0.1276474
лос-анджелес;34.054935;-118.244476
лубны;50.0118206;33.0030821
лубянский;53.2504861;34.3807255
лувр;48.86114765;2.33802698859948
луганск;48.5863123;39.3441392384396
луцк;50.7450733;25.320078
люблин;51.250559;22.5701022
майкоп;44.6062079;40.104053
мальта;35.8885993;14.4476911
манчжурия;49.58337105;117.262028858796
мариуполь;47.1286047;37.5790940286384
масловка;58.8794582;38.5689004
махачкала;42.97554;47.49612
мексика;22.5000485;-100.0000375
мелитополь;46.8487478;35.3676448
мессина;38.1937571;15.5542082
миасс;55.065304;60.108337
минск;53.902334;27.5618791
могилев;48.86272;34.48402
можайск;55.5016383;36.0334703
моздок;43.735584;44.653614
монтеверде;41.8788113;12.4550335
москва;55.7507178;37.6176606
мстиславль;54.0202153;31.7296714
мурманск;68.970665;33.07497
муром;55.5738;42.0447
мценск;53.278984;36.576077
нагасаки;33.1154683;129.7874339
назрань;43.2177784;44.765908
нальчик;43.4922651;43.6175546
нарва;59.3766915;28.1921057
неаполь;40.8359336;14.2487826
несси;12.6627557;-16.7466942
нижневартовск;60.934044;76.580368
николаевск;50.03146;45.454487
никольск;52.449329;30.682501
ницца;43.7009358;7.2683912
новгород;58.5209862;31.2757862
новокуйбышевск;53.099243;49.948364
новониколаевск;53.151459;105.086311
новороссийск;44.7239578;37.7690711
новосибирск;55.0282171;82.9234509
новочеркасск;47.41066;40.101986
норильск;69.3498394;88.200517
нью-йорк;40.7306458;-73.9866136
ньюкасл;-32.9272881;151.7812534
обнинск;55.0951738;36.611913
обь;48.3201921;4.19053966150475
овруч;51.3259771;28.8026718
одесса;46.4846583;30.732564
ольденбург;53.1389753;8.2146017
омск;54.991375;73.371529
оннес;39.2197007;9.105543
оренбург;51.767452;55.097118
орша;54.5119008;30.4254486
осиповка;58.2446956;56.4618479
останкино;55.8210768;37.619119
осташков;57.140232;33.123833
охотск;59.3643921;143.2410816
очаков;46.6153998;31.5457415
павловск;59.684853;30.433264
павлодар;52.2839774;76.9646409
париж;48.8566101;2.3514992
пекин;39.9059631;116.391248
пенза;53.200001;45.0
первомайск;48.62707125;38.5574277886222
переделкино;55.6564849;37.3348627
перемышль;54.264301;36.162399
переславль;56.7349617;38.8862583
пермь;58.014965;56.246723
петербург;56.8236546;60.5911049
петербургский;59.94186255;30.2972606638632
петергоф;59.881847;29.912041
петровск;52.3094494;45.3889831
петроград;54.3863724;62.4412712
петрозаводск;61.790039;34.390007
петропавловск;54.8668104;69.1334984
печора;65.7109698;54.8179912
пирей;37.9440078;23.6483599
пицунда;43.1597674;40.3372158
плевна;44.3641405;26.9954365
подмосковье;55.0952341;38.7594509
полоцк;55.4854656;28.7682339
полтава;49.5897423;34.5507948
польша;52.0977181;19.0258159
поповка;49.965481;34.583591
порт-артур;44.1926012;42.9002333
портсмут;50.8036831;-1.075614
поти;42.13372235;41.7076493242517
прага;50.0874654;14.4212535
прикамье;57.3035252;55.6085941
прилуки;50.5957548;32.3867593
причерноморье;46.83813425;29.6602402463446
псков;57.817398;28.334368
путивль;51.3359821;33.8715451
пятигорск;44.0410835;43.0666626
ржев;56.259262;34.330151
рождественка;55.8586367;37.3679985
ропша;59.7319695;29.8695501
рославль;53.9450018;32.8480373748998
ростов-на-дону;47.2249135;39.7022756
рыбинск;58.050373;38.834637
рыльск;51.570538;34.683506
рязань;54.66989795;39.6882768282671
саксония;50.9295798;13.4585052
салехард;66.5375387;66.6157469
сальск;46.476669;41.541008
самара;53.198627;50.113987
санктпетербург;59.9961523;29.7631985
санкт-петербург;59.938732;30.316229
саранск;54.18671;45.18383
саратов;51.530018;46.034683
сасебо;33.1777965;129.6727688
свердловск;56.839104;60.60825
свияжск;55.7716835;48.6579376
севан;40.5489041;44.9585573
севастополь;44.6054434;33.5220842
севастопольский;54.6487476;19.9380976
северск;48.86192345;38.090130222817
севск;52.156021;34.494572
сегра;28.285433;76.1883015
семипалатинск;50.405029;80.249176
сергиевка;52.14515;30.19043
серпухов;54.9155247;37.4195533
сибирь;44.1618551;40.0969968
симбирск;54.3107593;48.3642771
симла;31.1041526;77.1709729
симферополь;44.9521457;34.1024858
симферопольский;56.7714469;60.5880823
сингапур;1.2904753;103.8520359
сланцы;59.11726;28.086979
смоленск;54.77897005;32.0471812191562
соликамск;59.649437;56.779594
сормовский;56.3474768;43.8713177531547
сочи;43.5854823;39.723109
спбгиэу;59.92712065;30.3523074597955
сринагар;34.0747444;74.8204443
ставрополь;45.0433245;41.9690934
сталинград;48.710678;44.516804
сталинградский;49.9743923;87.3607278
стокгольм;59.3251172;18.0710935
стрельна;60.4527198;45.8155015
строгино;55.8013351;37.4030525
суздаль;56.4193908;40.4487893
сургут;61.254032;73.3964
сухомлинов;42.8468024;74.5779058
суэц;29.974498;32.537086
сызрань;53.15538;48.474121
сыктывкар;61.7411382;50.7258324313668
таганрог;47.2136896;38.903365
таганрогский;46.668663;40.691051
таганский;55.7415723;37.6670626
тагил;57.8199145;60.0073908
таллин;59.4372155;24.7453688
таллинн;59.4372155;24.7453688
тамбов;52.72879;41.45536
тарак;55.7288694;47.2917173
ташкент;41.3123363;69.2787079
тверь;56.858675;35.9208284
тегеран;35.7006177;51.401375
тирасполь;46.8516737;29.6349762
тифлис;41.6935247;44.8015019
тихвин;59.6431998;33.534473
тобольск;58.201286;68.250595
токио;34.2255804;139.294774527387
токмак;42.8373462;75.2953881
токсово;60.1591625;30.5252704
тольятти;53.51495;49.407574
томск;56.488712;84.952324
торжок;57.040794;34.973373
тотьма;59.975856;42.7568023
тохтамыш;37.8296765;74.6495779198322
туапсе;44.0984747;39.0718875
тула;45.2678158;1.7706904
тулон;43.1257311;5.9304919
тульчин;48.6730485;28.8569476
туркестан;43.298692;68.26296
тюмень;57.153534;65.542274
тянь-шань;42.030944;80.2006081
углич;57.526783;38.316689
украина;49.4871968;31.2718321
улан-удэ;51.8357841;107.5839105
ульяновск;54.3107593;48.3642771
унжа;58.0794657;44.2136658
уральск;51.222382;51.373421
урга;47.9184676;106.9177016
устюг;60.7612852;46.3014666
уфа;46.37093535;6.23116849372243
уэльс;52.2928116;-3.73893
фартус;31.318091;47.399945
фатеж;52.089344;35.859486
феодосия;45.05008335;35.3664387426081
фергана;40.3768911;71.7875888
франкфурт;50.110653;8.682093
фрязино;55.954618;38.0567691
хабаровск;48.481403;135.076935
хайфа;32.8191218;34.9983856
хангай;47.7576714;99.3926408539949
ханты-мансийск;61.00346;69.019157
харбин;45.7656666;126.6160584
харбинский;46.81664955;46.5386729274166
харьков;49.99142545;36.2722660718121
хасавюрт;43.242744;46.580849
херсон;46.65086815;32.6023027991877
херсонес;47.22877;37.55067
хибины;43.3924696;42.7292912
хива;41.3776893;60.3620006
цейлон;54.7767618;32.049626
циндао;36.0895093;120.3497193
цхинвал;42.2251222;43.9708477
чебоксары;56.1307584;47.2446994
челябинск;55.1598408;61.4025547
чернигов;51.494099;31.294332
чернигово;41.66382;25.17185
чечня;43.3976147;45.6985005
чистополь;55.3714831;50.6367311
чита;52.033409;113.500893
чулун;30.958611;47.080556
шанхай;31.2253441;121.4888922
шемаха;40.6335347;48.6398439
шербург;47.65977515;1.29718352539046
шестово;55.4911096;37.8529163
шлиссельбург;59.940431;31.0336955
щигры;51.870821;36.9131896
эверест;54.74100095;55.9428000815896
эйлат;29.5569348;34.9497949
эрзерум;50.8571955;57.8575708
юкон;63.000147;-136.002502
ядрин;55.9407976;46.2006586
якутск;62.027287;129.732086
ялта;44.4970713;34.1586871
яниш;54.27172255;59.7106369225933
ярославль;57.6263877;39.8933705
ярославль;57.6263877;39.8933705
